Run,Event,Type1,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
148864,487871848,G,16.8993,-9.81178,-1.67628,13.6563,9.95394,1.12157,-2.97238,-1,T,6.82301,0.144955,-1.20882,-6.71267,1.21748,-2.40849,-1.45145,1,20.3166
148864,487894056,G,10.2527,5.0515,0.202837,-8.91895,5.05557,-1.33291,0.0401322,1,G,4.37855,3.15947,3.01837,-0.26032,4.36953,-0.0595409,0.762563,-1,7.21235
148864,487893184,G,7.90761,2.44486,1.88144,-7.28024,3.08499,-1.5939,0.655896,-1,G,6.68444,-3.98428,-2.63187,-4.67648,4.77506,-0.866699,-2.55783,-1,8.1873
148864,487916992,G,7.64378,-2.05664,-6.17736,-4.00334,6.51072,-0.581546,-1.89219,-1,G,11.2188,-4.31662,-7.06332,-7.57143,8.2779,-0.819721,-2.11936,-1,2.42644
148864,487945632,G,9.6988,2.66747,3.83275,-8.50002,4.66962,-1.36025,0.962781,-1,G,22.0383,1.87776,-6.84057,-20.8652,7.09361,-1.79975,-1.30289,-1,10.7342
148864,487972424,G,11.4155,-4.87155,-0.158876,-10.3221,4.87414,-1.49507,-3.10899,-1,G,3.98247,3.53489,1.7081,-0.660156,3.92595,-0.167369,0.450127,-1,10.5972
148864,487975016,G,6.24981,-3.49238,4.42301,-2.69987,5.63557,-0.462419,2.23916,1,G,5.69415,-3.14638,2.66229,-3.92743,4.12159,-0.847667,2.43934,-1,2.1125
148864,488029400,G,27.0289,-2.9975,6.93095,25.9524,7.55136,1.94821,1.97899,1,T,3.96378,0.487737,0.900854,3.82766,1.02441,2.02872,1.07457,-1,2.46134
148864,488031128,G,28.2937,5.90696,-10.2044,25.7197,11.7907,1.52191,-1.04606,-1,T,9.08102,0.446943,-3.68948,8.28503,3.71645,1.54171,-1.45024,-1,2.67197
148864,488111768,G,6.20185,3.87973,-1.37732,-4.63707,4.11695,-0.967946,-0.341125,1,G,12.5701,-2.94422,2.84803,11.8835,4.0963,1.78667,2.3728,1,17.229
148864,488142360,G,7.57225,2.95988,-1.43296,-6.82009,3.2885,-1.47621,-0.450869,1,G,7.51833,4.75254,-0.627602,-5.79082,4.7938,-1.02107,-0.131297,-1,2.22786
148864,488165248,G,6.95155,-0.260218,-4.96169,-4.86074,4.96851,-0.865952,-1.62319,-1,G,9.33451,3.14779,-6.23356,-6.19323,6.98325,-0.799075,-1.10318,1,3.06168
148864,488187792,G,9.1839,5.77131,-1.50091,6.9837,5.96328,0.99735,-0.254428,-1,G,8.63672,-2.55912,-5.86817,5.79632,6.40192,0.812878,-1.98203,1,9.467
148864,488201352,G,10.6478,-0.861167,-3.53497,-10.0063,3.63835,-1.73636,-1.80976,1,G,8.58019,-2.64889,5.42781,-6.0935,6.03968,-0.88766,2.02482,-1,9.72663
148864,488204600,G,15.3666,1.31307,5.2679,14.3752,5.42908,1.70077,1.32652,-1,G,8.4678,-0.800435,5.25958,6.587,5.32014,1.04015,1.72182,1,4.19217
148864,488220920,G,15.2214,-4.17995,0.909264,14.6076,4.2777,1.94205,2.9274,-1,G,6.07744,-2.75064,0.968361,5.33107,2.91612,1.36403,2.80309,1,2.12896
148864,488245960,G,17.9721,2.00097,2.98686,-17.6085,3.59516,-2.2922,0.980541,1,G,9.30656,2.98027,2.26018,8.52117,3.74038,1.56154,0.648844,1,24.682
148864,488256992,G,16.117,-1.78954,4.59481,-15.3437,4.931,-1.85319,1.94219,-1,G,6.88527,3.66353,-1.47365,5.63938,3.94881,1.15422,-0.382442,-1,20.5347
148864,488293536,G,4.64751,4.28554,1.7924,-0.097804,4.64528,-0.0210529,0.396135,1,G,5.61159,-2.58409,2.77544,4.135,3.79218,0.943875,2.32051,1,8.07404
148864,488355656,G,34.659,6.23335,6.3103,33.5046,8.86986,2.03925,0.791533,-1,T,3.69248,-0.264092,0.927508,3.56275,0.964373,2.01779,1.84819,1,2.97096
148864,488369576,G,7.63256,0.61586,6.90988,3.18106,6.93727,0.44383,1.4819,1,G,6.05192,-0.962906,5.26348,-2.82547,5.35083,-0.506152,1.75174,-1,6.23119
148864,488441192,G,18.1718,0.901056,2.9574,-17.9065,3.09162,-2.45699,1.27505,-1,G,12.601,-3.09048,-0.5979,12.201,3.14778,2.06421,-2.95049,-1,30.0674
148864,488477920,G,14.5689,0.238735,3.46518,-14.1484,3.47339,-2.11235,1.50201,-1,G,6.31808,1.77044,4.25657,-4.31904,4.61008,-0.836021,1.17663,1,5.61759
148864,488509016,G,6.23716,0.139918,-3.40547,5.22247,3.40834,1.21253,-1.52973,1,G,4.22423,-0.0499257,4.22257,0.0178599,4.22287,0.00422932,1.58262,-1,9.01686
148864,488503664,G,6.51384,2.58455,-5.14298,-3.04775,5.75588,-0.507442,-1.10512,1,G,6.62153,5.09995,-3.77962,-1.8811,6.34783,-0.292164,-0.637787,-1,3.09517
148864,488509784,G,9.42356,2.89403,-4.71445,-7.62829,5.53186,-1.1257,-1.02025,1,T,7.1943,-2.16112,-1.78315,-6.62546,2.8018,-1.59578,-2.45173,-1,5.49798
148864,488566992,G,7.6762,3.39345,-1.28836,6.76295,3.62979,1.38072,-0.36285,-1,G,6.05871,-2.19014,-4.50881,-3.40157,5.01259,-0.635051,-2.02298,-1,11.9287
148864,488632392,G,9.57756,-0.977919,-2.98637,-9.04675,3.14241,-1.77945,-1.88725,1,G,7.37711,2.26153,3.7016,5.96608,4.33778,1.12359,1.02236,1,16.6076
148864,488694624,G,16.45,-4.17326,1.22716,-15.864,4.34995,-2.00533,2.8556,-1,G,12.0164,-4.77122,-10.0916,4.44716,11.1627,0.388545,-2.01244,1,22.8343
148864,487612177,G,16.474,0.368542,3.07815,-16.1794,3.10013,-2.35449,1.45164,-1,G,9.90431,1.84093,3.49095,-9.08341,3.94662,-1.5709,1.08551,1,3.09423
148864,487668193,G,6.47488,1.76524,5.79529,-2.28284,6.05818,-0.368428,1.27513,1,G,10.6953,-9.28302,4.38379,-2.99764,10.2661,-0.287998,2.7004,-1,10.3344
148864,487670449,G,9.12531,4.78904,3.28658,-7.0373,5.80831,-1.02337,0.601452,-1,G,8.43647,-7.25199,4.26809,0.595755,8.41475,0.0707399,2.60964,1,14.2753
148864,487712537,G,7.78651,3.38568,-5.86924,-3.83506,6.77575,-0.539451,-1.04757,1,G,5.53574,2.88655,-4.71874,-0.185774,5.53161,-0.0335777,-1.0218,-1,3.14146
148864,487717801,G,5.18014,-0.274615,-4.61738,-2.32961,4.62554,-0.484466,-1.6302,1,G,8.1062,-2.62342,-6.89133,3.36548,7.37379,0.441889,-1.93454,-1,5.88257
148864,487717433,G,7.19232,1.21495,-3.99784,-5.85317,4.17837,-1.13846,-1.27576,1,G,8.22742,-1.8356,-5.16094,-6.13795,5.47766,-0.964096,-1.91251,-1,3.11657
148864,487718209,G,3.6226,2.47869,2.63934,-0.0454959,3.62078,-0.0125649,0.816778,1,G,3.74833,-3.72684,0.188488,-0.337593,3.73161,-0.0903455,3.09106,1,6.68053
148864,487718121,G,11.2411,-4.0111,-1.99668,10.309,4.48059,1.5706,-2.67972,1,G,5.83862,-5.78908,0.713726,-0.235514,5.83291,-0.0403659,3.01892,1,9.62041
148864,487723649,G,18.57,0.917884,4.01148,-18.108,4.11515,-2.18749,1.34585,1,G,14.4763,-1.07485,3.6507,-13.9667,3.80564,-2.01141,1.85713,1,2.13015
148864,487750913,G,43.0355,2.66345,-13.9316,-40.6307,14.184,-1.77472,-1.3819,-1,T,5.80223,-0.962924,-1.41375,-5.54336,1.71053,-1.89194,-2.16874,-1,3.83435
148864,487764057,G,9.85887,2.23366,-0.0674818,-9.60168,2.23468,-2.16426,-0.0302021,-1,G,32.3348,6.72247,-11.5696,-29.4361,13.3808,-1.52961,-1.04443,-1,6.38177
148864,487816017,G,46.0035,9.49808,7.56308,-44.3722,12.1414,-2.00735,0.672465,-1,G,8.99742,-1.44475,-3.0763,-8.33015,3.39866,-1.62888,-2.00986,1,12.7503
148864,487819849,G,21.497,-11.8789,-8.10407,-15.979,14.38,-0.957857,-2.5429,1,T,7.73108,1.98664,1.02786,-7.39967,2.23679,-1.91164,0.477461,1,12.6409
148864,487825289,G,9.06996,-5.9354,5.02753,4.66347,7.7785,0.568425,2.43882,1,G,7.15581,-1.01905,5.22098,4.78512,5.3195,0.808528,1.76356,1,4.5391
148864,487849393,G,6.42673,-5.08343,2.85504,-2.7017,5.83031,-0.448228,2.62986,1,G,5.7483,-2.25975,4.13877,-3.28571,4.71549,-0.650035,2.07056,-1,3.08976
148864,487824705,G,20.478,-16.0727,-7.19998,-10.4483,17.6117,-0.563033,-2.72043,1,T,3.34324,-0.240654,1.03817,3.16708,1.0657,1.8095,1.79858,1,14.5032
148864,487867201,G,6.95227,3.46796,0.776905,5.97433,3.55391,1.29118,0.220385,-1,G,6.13033,2.33846,3.42431,4.51391,4.1466,0.942644,0.97164,1,3.12832
148864,487864881,G,18.8302,5.13679,-14.209,-11.2376,15.109,-0.688151,-1.2239,1,T,3.85427,-0.0419729,1.17002,3.67062,1.17077,1.86036,1.60665,-1,16.1664
148864,487887401,G,6.92929,-4.42413,0.51298,-5.30734,4.45377,-1.01062,3.02616,1,G,8.30516,5.06959,-2.34558,6.14507,5.58592,0.950414,-0.433345,1,15.0868
148864,487959841,G,9.16895,-1.62985,-3.80617,8.18016,4.14045,1.4327,-1.97539,-1,G,5.91633,2.66952,4.88606,-1.99795,5.56776,-0.351556,1.07076,1,13.6784
148864,488023417,G,14.9855,-10.4253,-8.87775,6.08711,13.6931,0.431063,-2.4362,1,G,6.7007,4.91647,-0.21556,4.54643,4.9212,0.826487,-0.0438165,-1,15.6264
148864,488091785,G,5.35001,3.32315,-2.36912,-3.45765,4.08119,-0.769116,-0.61934,1,G,3.69661,1.76167,-3.21725,-0.446741,3.668,-0.121495,-1.06982,-1,3.08773
148864,488091617,G,7.14489,-3.06004,2.31119,-6.02767,3.83477,-1.23397,2.49472,1,G,5.18395,5.17806,0.0597579,0.21527,5.1784,0.0415587,0.0115401,1,10.3975
148864,488076785,G,21.9966,21.7743,2.37408,-2.01997,21.9034,-0.0920918,0.108602,-1,T,13.8513,13.5586,0.204847,-2.82322,13.5601,-0.206724,0.0151071,-1,2.55904
148864,488131609,G,32.544,2.55177,-16.0655,-28.1867,16.2669,-1.31731,-1.41328,-1,G,21.8467,-0.723917,-10.6625,-19.0539,10.6871,-1.3421,-1.63859,1,2.99017
148864,488158609,G,5.69074,5.31575,-1.89521,0.724099,5.6435,0.127957,-0.342478,1,G,7.33636,6.80288,-0.306616,2.72724,6.80978,0.390489,-0.0450411,-1,2.46665
148864,488185537,G,8.86889,-0.0719004,-1.64649,-8.71378,1.64806,-2.36728,-1.61444,-1,G,6.18445,-0.595156,1.82139,5.87917,1.91616,1.8398,1.88662,-1,14.768
148864,488236417,G,11.9251,2.90879,2.38221,11.3164,3.75979,1.82155,0.686201,1,T,4.56944,-3.35412,-1.64388,2.62986,3.7353,0.655986,-2.68589,-1,8.76517
148864,488229481,G,8.4122,4.60943,2.71704,6.49036,5.35062,1.02428,0.532628,1,T,4.28592,2.26012,-2.44728,2.69455,3.33127,0.739578,-0.825136,-1,5.44206
148864,488279201,G,15.4897,2.3587,-3.23101,14.9638,4.00036,2.0298,-0.940205,-1,T,3.34743,-0.404779,1.13209,3.12228,1.20227,1.68266,1.91418,1,4.41656
148864,488310017,G,13.5929,-9.0539,-8.02513,-6.19516,12.0986,-0.491969,-2.41636,-1,T,5.21319,-4.18695,-1.93958,-2.42356,4.61438,-0.503654,-2.70778,-1,2.18429
148864,488337625,G,13.6705,-1.45047,-4.36676,-12.8724,4.60135,-1.7524,-1.89149,1,G,8.27549,-6.49855,4.36945,-2.67379,7.83092,-0.335131,2.54965,-1,13.2949
148864,488358193,G,14.4342,-4.6495,2.15298,-13.4938,5.12378,-1.69572,2.70793,-1,G,11.8243,-1.90697,-3.51004,11.1286,3.99461,1.74847,-2.06847,-1,25.2801
148864,488395017,G,8.28998,-5.12477,0.0925091,6.51466,5.12561,1.06065,3.12354,1,G,5.06699,0.704494,4.26408,2.64282,4.32189,0.578658,1.40706,-1,7.48535
148864,488429665,G,6.40233,2.9406,1.93774,5.34572,3.52165,1.20469,0.582649,1,G,8.4086,3.98681,7.2662,-1.41457,8.28809,-0.169857,1.06897,1,8.43849
148864,488442705,G,13.2822,1.09384,-5.85571,-11.871,5.957,-1.4404,-1.38613,-1,G,7.12147,-4.96015,0.0420737,-5.10875,4.96033,-0.902374,3.13311,1,8.90238
